,rawData,additive,description
273,"Chamomile Flower, English, Oil- ESO, REG - 182.20","Chamomile Flower, English, Oil","ESO, REG - 182.20"
274,Chemicals for controlling micro-organisms in cane sugar and beet sugar mills-REG 173.320,Chemicals for controlling micro-organisms in cane sugar and beet sugar mills-REG 173.320,
275,Chemicals used in delinting cottonseed- 173.322,Chemicals used in delinting cottonseed,173.322
276,"Chemicals used in washing fruits & vegs. or to assist in peeling fruits and vegs. Polyacrylamide, Potassium bromide, Sodium dodecylbenzenesulfonate, Sodium hypochlorite, sodium 2-ethyl-l- hexylsulfate, sodium n-alkylbenzene sulfonate, sodium mono- and dimethyl- naphthalene sulfonates- mol wt 245-260, Alkylene oxide adducts of alkyl alcohols and phosphate esters of alkylene oxides. Adducts of alkyl alcohols mixtures -MISC, REG, Use of chemicals followed by rinsing to remove residues. X-ref - Individual chemicals, 173.315 lim­its amounts of some in wash water","Chemicals used in washing fruits & vegs. or to assist in peeling fruits and vegs. Polyacrylamide, Potassium bromide, Sodium dodecylbenzenesulfonate, Sodium hypochlorite, sodium 2-ethyl-l","hexylsulfate, sodium n-alkylbenzene sulfonate, sodium mono- and dimethyl- naphthalene sulfonates- mol wt 245-260, Alkylene oxide adducts of alkyl alcohols and phosphate esters of alkylene oxides. Adducts of alkyl alcohols mixtures -MISC, REG, Use of chemicals followed by rinsing to remove residues. X-ref - Individual chemicals, 173.315 lim­its amounts of some in wash water"
277,"Cherry-laurel leaves- FL/ADJ, REG, GMP, In conjunction w/flavors only; <25 ppm prussic acid - 172.510",Cherry-laurel leaves,"FL/ADJ, REG, GMP, In conjunction w/flavors only; <25 ppm prussic acid - 172.510"
278,Cherry-laurel water- FL/ADJ - 172.510,Cherry-laurel water,FL/ADJ - 172.510
279,"Cherry, pits, extract- FL/ADJ, REG, GMP, In conjunction w/flavors only; <25 ppm prussic acid - 172.510","Cherry, pits, extract","FL/ADJ, REG, GMP, In conjunction w/flavors only; <25 ppm prussic acid - 172.510"
280,"Cherry, wild, bark- ESO, GRAS - 182.20","Cherry, wild, bark","ESO, GRAS - 182.20"
281,"Chervil- ESO/SP/FLAV, GRAS - 182.10",Chervil,"ESO/SP/FLAV, GRAS - 182.10"
282,"Chervil extract-ESO, GRAS - 182.20","Chervil extract-ESO, GRAS",182.20
283,"Chestnut leaves/extract- FL/ADJ, REG, In conjunction w/flavors - 172.510",Chestnut leaves/extract,"FL/ADJ, REG, In conjunction w/flavors - 172.510"
284,"Chewing gum base- MISC, REG, GMP, Chicle, chiquibul, crown gum, gutta hang kang, jelutong, massaranduba balata, massaranduba chocolate, nispero, lechi caspi, pendare, perillo, rosidinha, Venezuelan chicle, Leche de vaca, Niger gutta, tunu, chilte, natural rubber, glycerol ester of tall oil resin, etc. - 172.615",Chewing gum base,"MISC, REG, GMP, Chicle, chiquibul, crown gum, gutta hang kang, jelutong, massaranduba balata, massaranduba chocolate, nispero, lechi caspi, pendare, perillo, rosidinha, Venezuelan chicle, Leche de vaca, Niger gutta, tunu, chilte, natural rubber, glycerol ester of tall oil resin, etc. - 172.615"
285,"Chicle- MISC, REG, Comp of chewing gum base - 172.615",Chicle,"MISC, REG, Comp of chewing gum base - 172.615"
286,"Chicory- ESO, GRAS - 182.20",Chicory,"ESO, GRAS - 182.20"
287,"Chilte- MISC, REG, Chewing gum base - 172.615",Chilte,"MISC, REG, Chewing gum base - 172.615"
288,"Chilquibul- MISC, REG, Comp of chewing gum base -172.615",Chilquibul,"MISC, REG, Comp of chewing gum base -172.615"
289,"Chirata (Chiretta, East Indian Bolonong) & herb extract- FL/ADJ, REG, GMP, In alcoholic beverages only - 172.510 Chives - SP, GRAS - 182.10","Chirata (Chiretta, East Indian Bolonong) & herb extract","FL/ADJ, REG, GMP, In alcoholic beverages only - 172.510 Chives - SP, GRAS - 182.10"
290,"Chloramphenicol- VET, REG, ZERO - Drug in any form may not be used in food (meat, milk, and egg) producing animals",Chloramphenicol,"VET, REG, ZERO - Drug in any form may not be used in food (meat, milk, and egg) producing animals"
291,"Chlorhexidine dihydrochloride-VET, REG, ZERO Residue in edible tissues of calves - 556.120","Chlorhexidine dihydrochloride-VET, REG, ZERO Residue in edible tissues of calves",556.120
292,"Chlorine & chlorine dioxide- BL, FS, GMP, Part 137, Cereal Flours",Chlorine & chlorine dioxide,"BL, FS, GMP, Part 137, Cereal Flours"
293,"Chlorine dioxide- MISC, REG, Used as an antimicrobial agent in poultry process water at a concentration not to exceed 3 ppm residual chlorine dioxide. Used as an antimicrobial agent in water used to wash fruits and vegetables that are not raw agricultural commodities at a level not to exceed 3 ppm residual chlorine dioxide - 173.300",Chlorine dioxide,"MISC, REG, Used as an antimicrobial agent in poultry process water at a concentration not to exceed 3 ppm residual chlorine dioxide. Used as an antimicrobial agent in water used to wash fruits and vegetables that are not raw agricultural commodities at a level not to exceed 3 ppm residual chlorine dioxide - 173.300"
294,"Chlorine dioxide, stabilized- SANI, REG, For use as rinse for food processing equipment - 178.1010","Chlorine dioxide, stabilized","SANI, REG, For use as rinse for food processing equipment - 178.1010"
295,"Chlorobutanol- VET, REG, ZERO - In milk from dairy animals from use of mastitis formulations - 526.820; As residues - 556.140",Chlorobutanol,"VET, REG, ZERO - In milk from dairy animals from use of mastitis formulations - 526.820; As residues - 556.140"
296,"Chlorofluorocarbon-113- MISC, REG, GMP, To cool or freeze chickens - 173.342",Chlorofluorocarbon-113,"MISC, REG, GMP, To cool or freeze chickens - 173.342"
297,"Chloromethylated aminated styrene di-vinylbenzene resin- MISC, REG, 500 ppm in sugar liquor - To clarify sugar liquor - 173.70",Chloromethylated aminated styrene di-vinylbenzene resin,"MISC, REG, 500 ppm in sugar liquor - To clarify sugar liquor - 173.70"
298,"2-Chloro-4-nitrobenzamide- FEED, REG, See Aklomide",2-Chloro-4-nitrobenzamide,"FEED, REG, See Aklomide"
299,"Chloropentafluoroethane alone or comb/w carbon dioxide nitrous oxide, propane, or octafluorocyclobutane- MISC, REG, Used as a propellant and aerating agent in food except where food standards preclude use -173.345","Chloropentafluoroethane alone or comb/w carbon dioxide nitrous oxide, propane, or octafluorocyclobutane","MISC, REG, Used as a propellant and aerating agent in food except where food standards preclude use -173.345"
300,"Clorsulon-VET, REG, Use: As a drench for cattle -520.462; 1.0 ppm - As residue in uncooked edible muscle tissue of cattle - 556.163; 2.0 ppm - As residue in uncooked liver - do; 3.0 ppm - As residue in kidney - do; 4.0 ppm - As residue in uncooked cattle fat - do; As injection for cattle; combination with Ivermectin - 522.1193","Clorsulon-VET, REG, Use: As a drench for cattle -520.462; 1.0 ppm",As residue in uncooked edible muscle tissue of cattle - 556.163; 2.0 ppm - As residue in uncooked liver - do; 3.0 ppm - As residue in kidney - do; 4.0 ppm - As residue in uncooked cattle fat - do; As injection for cattle; combination with Ivermectin - 522.1193
301,"Chlortetracycline- FEED/VET, REG, 4 ppm - Residues in uncooked kidneys of chickens & turkeys; 1 ppm - In uncooked muscle, liver, fat & skin of chickens and turkeys as residue - 556.150; ZERO - Residues in eggs - 556.150; 4 ppm - Residues in uncooked kidney of swine - 556.150; 2 ppm -Residues in uncooked liver of swine - 556.150; 1 ppm - Residues in uncooked muscle of swine - 556.150; 0.2 ppm - Residues in uncooked fat of calves - 556.150; 4 ppm Residues in uncooked liver & kidneys of calves - 556.150; 1 ppm - Residues in uncooked muscle & fat of calves -556.150; 0.1 ppm - In uncooked kidney, liver, and muscle of beef cattle & non-lactating dairy cows as residue; ZERO -Residue in uncooked fat - 556.150; ZERO - Residue in milk - 556.150; 1 ppm - Residues in uncooked kidney of sheep -556.150; 0.5 ppm - Residues in uncooked liver of sheep -556.150; 0.1 ppm - Residues in uncooked muscle of sheep - 556.150; For feed use: 558.55, 558.58, 558.105, 558.128, 558.175, 558.274, 558.368, 558.430, 558.530, 558.680",Chlortetracycline,"FEED/VET, REG, 4 ppm - Residues in uncooked kidneys of chickens & turkeys; 1 ppm - In uncooked muscle, liver, fat & skin of chickens and turkeys as residue - 556.150; ZERO - Residues in eggs - 556.150; 4 ppm - Residues in uncooked kidney of swine - 556.150; 2 ppm -Residues in uncooked liver of swine - 556.150; 1 ppm - Residues in uncooked muscle of swine - 556.150; 0.2 ppm - Residues in uncooked fat of calves - 556.150; 4 ppm Residues in uncooked liver & kidneys of calves - 556.150; 1 ppm - Residues in uncooked muscle & fat of calves -556.150; 0.1 ppm - In uncooked kidney, liver, and muscle of beef cattle & non-lactating dairy cows as residue; ZERO -Residue in uncooked fat - 556.150; ZERO - Residue in milk - 556.150; 1 ppm - Residues in uncooked kidney of sheep -556.150; 0.5 ppm - Residues in uncooked liver of sheep -556.150; 0.1 ppm - Residues in uncooked muscle of sheep - 556.150; For feed use: 558.55, 558.58, 558.105, 558.128, 558.175, 558.274, 558.368, 558.430, 558.530, 558.680"
302,"Chlortetracycline- FEED, REG, Sulfa: 0.1 ppm (neg residue) - Residue in uncooked edible tissues of swine, 556.690;+Procaine Penicillin- Penicillin: 0 - Residue in uncooked edible tissues of swine, 556.510;+Sulfathiazole- Chlortetracycline: 4 ppm - Residue in uncooked edible tissue of swine kidney - 556.150; 2 ppm -Residue in uncooked edible tissue of swine liver - 556.150; 1 ppm - Residue in uncooked edible tissue of swine muscle - do;0.2 ppm - Residue in uncooked edible tissue of swine fat - do; Uses & other information - 558.155",Chlortetracycline,"FEED, REG, Sulfa: 0.1 ppm (neg residue) - Residue in uncooked edible tissues of swine, 556.690;+Procaine Penicillin- Penicillin: 0 - Residue in uncooked edible tissues of swine, 556.510;+Sulfathiazole- Chlortetracycline: 4 ppm - Residue in uncooked edible tissue of swine kidney - 556.150; 2 ppm -Residue in uncooked edible tissue of swine liver - 556.150; 1 ppm - Residue in uncooked edible tissue of swine muscle - do;0.2 ppm - Residue in uncooked edible tissue of swine fat - do; Uses & other information - 558.155"
303,"Chlortetracycline- FEED, REG, Sulfa: 0.1 ppm (neg residue) - Residues in uncooked edible tissues of cattle & swine - 556.670+Procaine Penicillin- Penicillin: 0 - Residue in uncooked edible tissues of swine - 556.510+Sulfamethazine- Chlortetracycline: - 4 ppm - Residue in uncooked kidney of swine, 556.150; 2 ppm - Residue in uncooked liver of swine, 556.150; 1 ppm - Residue in uncooked muscle of swine, 556.150; 0.2 ppm - Residue in uncooked fat of swine - 556.150; Uses & other information, 558.145",Chlortetracycline,"FEED, REG, Sulfa: 0.1 ppm (neg residue) - Residues in uncooked edible tissues of cattle & swine - 556.670+Procaine Penicillin- Penicillin: 0 - Residue in uncooked edible tissues of swine - 556.510+Sulfamethazine- Chlortetracycline: - 4 ppm - Residue in uncooked kidney of swine, 556.150; 2 ppm - Residue in uncooked liver of swine, 556.150; 1 ppm - Residue in uncooked muscle of swine, 556.150; 0.2 ppm - Residue in uncooked fat of swine - 556.150; Uses & other information, 558.145"
304,"Choline bitartrate- NUTR/DS, GRAS, GMP - 182.5250, 182.8250",Choline bitartrate,"NUTR/DS, GRAS, GMP - 182.5250, 182.8250"
305,"Choline chloride- NUTR/DS, GRAS, GMP - 182.5252. 182.8252",Choline chloride,"NUTR/DS, GRAS, GMP - 182.5252. 182.8252"
306,"Choline xanthate- FEED, REG, GMP, For poultry, swine & ruminants - 573.300",Choline xanthate,"FEED, REG, GMP, For poultry, swine & ruminants - 573.300"
307,"Chymosin enzyme preparation derived from E. Coli K­12- ENZ, GRAS, GMP, As a stabilizer & thickener -184.1685; derived from Aspergillus niger - ditto.",Chymosin enzyme preparation derived from E. Coli K­12,"ENZ, GRAS, GMP, As a stabilizer & thickener -184.1685; derived from Aspergillus niger - ditto."
308,"Cinchona bark, red or yellow- FL/ADJ, REG, < 83 ppm total - Cinchona alkaloids in finished beverage - 172.510","Cinchona bark, red or yellow","FL/ADJ, REG, < 83 ppm total - Cinchona alkaloids in finished beverage - 172.510"
309,"Cinnamon & bark & leaf, Ceylon, Chinese, and Saigon-O/SP, GRAS, 182.10 and 182.20","Cinnamon & bark & leaf, Ceylon, Chinese, and Saigon-O/SP, GRAS, 182.10 and 182.20",
310,"Cinnamyl anthranilate - SYL/FL, BAN, ZERO - 189.113",Cinnamyl anthranilate,"SYL/FL, BAN, ZERO - 189.113"
311,"Cire d'abielle- FL/ADJ, REG, GMP, X-ref Beeswax, white -172.510",Cire d'abielle,"FL/ADJ, REG, GMP, X-ref Beeswax, white -172.510"
312,"Citric acid- SEQ/B&N, GRAS/FS - 182.1033, 182.6033 -GMP, Part 169, Dressings; Part 133, Part 146 Canned Fruit Juices; Cheese; Part 166, Oleomargarine; FEED, GRAS, GMP, Part 582.1033 - Animal feeds; REG - 172.755, 173.165",Citric acid,"SEQ/B&N, GRAS/FS - 182.1033, 182.6033 -GMP, Part 169, Dressings; Part 133, Part 146 Canned Fruit Juices; Cheese; Part 166, Oleomargarine; FEED, GRAS, GMP, Part 582.1033 - Animal feeds; REG - 172.755, 173.165"
313,"Citronella- ESO, GRAS - 182.20",Citronella,"ESO, GRAS - 182.20"
314,"Citrus bioflavonoids - DS, ILL, Any claim for special dietary use renders the food misbranded (Vitasafe Case)",Citrus bioflavonoids,"DS, ILL, Any claim for special dietary use renders the food misbranded (Vitasafe Case)"
315,"Citrus peels- ESO, GRAS - 182.20",Citrus peels,"ESO, GRAS - 182.20"
316,"Civet (zibeth, zibet, zibetum)- ESO, GRAS - 182.20","Civet (zibeth, zibet, zibetum)","ESO, GRAS - 182.20"
317,"Clary (clary sage)- SP/ESO, GRAS - 182.10 and 182.20",Clary (clary sage),"SP/ESO, GRAS - 182.10 and 182.20"
318,"Clopidol (3,5-Dichloro-2,6-dimethyl-4-pyridinol)- FEED, REG, 0.02 ppm - Residues in milk - 556.160; 0.2 ppm -Residues in cereal grains, vegs, fruits, meat of cattle, sheep and goats, and in edible tissues of swine - 556.160; 1.5 ppm - Residues in liver of cattle, sheep & goats - 556.160; 5 ppm - Residues in muscle of chicken & turkeys - 556.160; 5 ppm - Residues in liver & kidneys of chickens & turkeys -556.160; Uses in chicken & turkey feeds - 558.175","Clopidol (3,5-Dichloro-2,6-dimethyl-4-pyridinol)","FEED, REG, 0.02 ppm - Residues in milk - 556.160; 0.2 ppm -Residues in cereal grains, vegs, fruits, meat of cattle, sheep and goats, and in edible tissues of swine - 556.160; 1.5 ppm - Residues in liver of cattle, sheep & goats - 556.160; 5 ppm - Residues in muscle of chicken & turkeys - 556.160; 5 ppm - Residues in liver & kidneys of chickens & turkeys -556.160; Uses in chicken & turkey feeds - 558.175"
319,"Cloxacillin-VET, REG, 0.01 ppm - Residues in milk; uncooked edible tissue of cattle - 556.165","Cloxacillin-VET, REG, 0.01 ppm",Residues in milk; uncooked edible tissue of cattle - 556.165
320,"Clove, bud, leaf, and stem - ESO, GRAS - 184.1257","Clove, bud, leaf, and stem","ESO, GRAS - 184.1257"
321,"Clover- SP/ESO, GRAS - 182.10 and 182.20",Clover,"SP/ESO, GRAS - 182.10 and 182.20"
322,"Cloves- SP, GRAS - 184.1257",Cloves,"SP, GRAS - 184.1257"
323,"Coatings on fresh citrus fruits- CTG, REG, GMP -172.210",Coatings on fresh citrus fruits,"CTG, REG, GMP -172.210"
324,"Cobalt (acetate, carbonate, chloride, oxide, sulfate)-NUTR, GRAS, As nutritional dietary supplement in animal feed - 582.80","Cobalt (acetate, carbonate, chloride, oxide, sulfate)-NUTR, GRAS, As nutritional dietary supplement in animal feed",582.80
325,"Cobaltous salts (acetate) - MISC, ILL, Illegal for use, 172.260 revoked chloride, sulfate) 8/12/66",Cobaltous salts (acetate),"MISC, ILL, Illegal for use, 172.260 revoked chloride, sulfate) 8/12/66"
326,"Coca (decocainized)- ESO, GRAS - 182.20",Coca (decocainized),"ESO, GRAS - 182.20"
327,"Cocoa butter substitute from palm oil- GRAS, GMP - In the following food categories: confections and frostings; coatings of soft candy; sweet sauces and toppings -184.1259",Cocoa butter substitute from palm oil,"GRAS, GMP - In the following food categories: confections and frostings; coatings of soft candy; sweet sauces and toppings -184.1259"
328,"Cocoa butter substitute from coconut oil, palm kernel oil or both- ESO, REG, Coating material for vitamins, citric acid, succinin acid and spices. In lieu of cocoa butter in sweets - 172.861","Cocoa butter substitute from coconut oil, palm kernel oil or both","ESO, REG, Coating material for vitamins, citric acid, succinin acid and spices. In lieu of cocoa butter in sweets - 172.861"
329,"Cocoa with dioctyl sodium sulfosuccinate for manufacturing-FLV,REG, 75 ppm of finished beverage -0 172.520","Cocoa with dioctyl sodium sulfosuccinate for manufacturing-FLV,REG, 75 ppm of finished beverage -0 172.520",
330,"Coffee- ESO, GRAS - 182.20",Coffee,"ESO, GRAS - 182.20"
331,"Cognac oil, white and green- MISC, GRAS - 182.50","Cognac oil, white and green","MISC, GRAS - 182.50"
332,"Cola nut- ESO, GRAS - 182.20",Cola nut,"ESO, GRAS - 182.20"
333,"Colloidal Silicon dioxide- AC, REG, X-ref - Silicon dioxide",Colloidal Silicon dioxide,"AC, REG, X-ref - Silicon dioxide"
334,"Combustion product gas- MISC, REG, GMP, To displace or remove oxygen in processing, stg, or pkging of beverage pdts and other foods, except fresh meats - 173.350",Combustion product gas,"MISC, REG, GMP, To displace or remove oxygen in processing, stg, or pkging of beverage pdts and other foods, except fresh meats - 173.350"
335,"Condensed animal protein hydrolysate- FEED, REG, < 5% poultry feed - For use - 573.200; < 10% cattle feed",Condensed animal protein hydrolysate,"FEED, REG, < 5% poultry feed - For use - 573.200; < 10% cattle feed"
336,"Copaiba- FL/ADJ, REG, GMP, In conjunction w/flavors -172.510",Copaiba,"FL/ADJ, REG, GMP, In conjunction w/flavors -172.510"
337,"Copals, Manila- MISC, REG, 73.1 - Diluents in color additive mixtures","Copals, Manila","MISC, REG, 73.1 - Diluents in color additive mixtures"
338,"Copolymer condensates of ethylene oxide and propylene oxide- STAB, REG, GMP, Stabilizing agent in flavor concentrates; processing aid and wetting agent w/DSS for fumaric acid - 172.808; MISC, REG, 0.5% by weight of flour - In yeast leavened bakery products as a dough condition­er, if Standards permit its use - 172.808; Part 136 - Bakery Products; < 0.05% - Surfactant and defoaming agent in scald baths for poultry defeathering - 172.808",Copolymer condensates of ethylene oxide and propylene oxide,"STAB, REG, GMP, Stabilizing agent in flavor concentrates; processing aid and wetting agent w/DSS for fumaric acid - 172.808; MISC, REG, 0.5% by weight of flour - In yeast leavened bakery products as a dough condition­er, if Standards permit its use - 172.808; Part 136 - Bakery Products; < 0.05% - Surfactant and defoaming agent in scald baths for poultry defeathering - 172.808"
339,"Copper (carbonate, chloride, gluconate, hydroxide, orthophosphate, oxide, pyrophosphate, sulfate)- NUTR, GRAS, As nutritional dietary supplement in animal feed -582.80","Copper (carbonate, chloride, gluconate, hydroxide, orthophosphate, oxide, pyrophosphate, sulfate)","NUTR, GRAS, As nutritional dietary supplement in animal feed -582.80"
340,"Copper gluconate- NUTR/DS, GRAS, GMP, In any food -182.5260, 182.1260",Copper gluconate,"NUTR/DS, GRAS, GMP, In any food -182.5260, 182.1260"
341,"Copper (cuprous) iodide- NUTR/DS, GRAS, <0.01% - In table salt as a source of dietary iodine - 184.1265",Copper (cuprous) iodide,"NUTR/DS, GRAS, <0.01% - In table salt as a source of dietary iodine - 184.1265"
342,"Copper sulfate- NUTR/SUPPL, GRAS, GMP, Processing aid - 184.1261",Copper sulfate,"NUTR/SUPPL, GRAS, GMP, Processing aid - 184.1261"
343,"Coriander- SP/ESO, GRAS - 182.10 and 182.20",Coriander,"SP/ESO, GRAS - 182.10 and 182.20"
344,"Cork, oak- FL/ADJ, REG, GMP, In alcoholic beverages only - 172.510","Cork, oak","FL/ADJ, REG, GMP, In alcoholic beverages only - 172.510"
345,"Corn dextrin- NUTRS, GRAS, GMP - 184.1277",Corn dextrin,"NUTRS, GRAS, GMP - 184.1277"
346,"Corn gluten- GRAS, GMP - 184.1321",Corn gluten,"GRAS, GMP - 184.1321"
347,"Corn silk- ESO, GRAS - 182.20",Corn silk,"ESO, GRAS - 182.20"
348,"Corn sugar- NUTRS, GRAS, GMP - 184.1857",Corn sugar,"NUTRS, GRAS, GMP - 184.1857"
349,"Corn syrup- NUTRS, GRAS, GMP - 184.1865",Corn syrup,"NUTRS, GRAS, GMP - 184.1865"
350,"Corn Syrup, High Fructose- NUTRS, GRAS, GMP -182.1866","Corn Syrup, High Fructose","NUTRS, GRAS, GMP -182.1866"
351,"Costmary- FL/ADJ, REG, GMP, In alcoholic beverages only - 172.510",Costmary,"FL/ADJ, REG, GMP, In alcoholic beverages only - 172.510"
352,"Costus root- FL/ADJ, REG, GMP, In conjunction w/flavors -172.510",Costus root,"FL/ADJ, REG, GMP, In conjunction w/flavors -172.510"
353,"Cottonseed & soybean fatty acids- MISC, REG, GMP ­In foods as a lubricant, binder, defoaming agent & compo­nent in manufacture of other food grade additives - 172.860",Cottonseed & soybean fatty acids,"MISC, REG, GMP ­In foods as a lubricant, binder, defoaming agent & compo­nent in manufacture of other food grade additives - 172.860"
354,"Cottonseed flour (cooked and partially defatted)-MISC, REG, See 172.894 for specifications","Cottonseed flour (cooked and partially defatted)-MISC, REG, See 172.894 for specifications",
355,"Cottonseed Products (modified)- MISC, REG, 60 ppm N-hexane < 1% fat by wt of finished product - Decorticated ground cottonseed kernels - 172.894",Cottonseed Products (modified),"MISC, REG, 60 ppm N-hexane < 1% fat by wt of finished product - Decorticated ground cottonseed kernels - 172.894"
356,"Coumaphos (O,O-Diethyl O-(3-chloro-4-methyl-2-oxo-2H-1-benzopyran-7-yl) phosphorothioate) -Uses in cattle & chicken feeds -558.185","Coumaphos (O,O-Diethyl O-(3-chloro-4-methyl-2-oxo-2H-1-benzopyran-7-yl) phosphorothioate) -Uses in cattle & chicken feeds -558.185",
357,"Coumarin - SY/FS, BAN, Any food containing coumarin added as such or as a constituent of tonka beans or tonka extract is adulterated.",Coumarin,"SY/FS, BAN, Any food containing coumarin added as such or as a constituent of tonka beans or tonka extract is adulterated."
358,"Coumarone-indene resin- CTG, REG, < 200 ppm fresh wt basis on fruit - As protective coating for fruit - 172.215",Coumarone-indene resin,"CTG, REG, < 200 ppm fresh wt basis on fruit - As protective coating for fruit - 172.215"
359,"Crambe meal, heat toasted- 573.310","Crambe meal, heat toasted",573.310
360,"Cubeb- FL/ADJ, REG, MP, In conjunction w/flavors - 172.510",Cubeb,"FL/ADJ, REG, MP, In conjunction w/flavors - 172.510"
361,"Cumin (cummin)- SP/ESO, GRAS - 182.10 and 182.20",Cumin (cummin),"SP/ESO, GRAS - 182.10 and 182.20"
362,"Cumin, black (black caraway)- SP, GRAS - 182.10","Cumin, black (black caraway)","SP, GRAS - 182.10"
363,"Cuprous iodide- NUTR/DS, GRAS, 0.01% - In table salt as a source of dietary iodine -184.1265",Cuprous iodide,"NUTR/DS, GRAS, 0.01% - In table salt as a source of dietary iodine -184.1265"
364,"Curacao orange peel (orange, bitter, peel)- ESO, GRAS -182.20","Curacao orange peel (orange, bitter, peel)","ESO, GRAS -182.20"
365,"Curdlan- MISC, EMUL, STAB, REG/FS, GMP - 172.809",Curdlan,"MISC, EMUL, STAB, REG/FS, GMP - 172.809"
366,"Currant black, buds & leaves- FL/ADJ, REG, GMP, In conjunction w/flavors - 172.510","Currant black, buds & leaves","FL/ADJ, REG, GMP, In conjunction w/flavors - 172.510"
367,"Cusparia bark- ESO, GRAS - 182.20",Cusparia bark,"ESO, GRAS - 182.20"
368,"Cyclamates - NNS, ILL, NOT LEGAL IN FOOD",Cyclamates,"NNS, ILL, NOT LEGAL IN FOOD"
369,"Cyclohexane- MISC, REG, 73.1 - Diluents in color additive mixtures",Cyclohexane,"MISC, REG, 73.1 - Diluents in color additive mixtures"
370,"Cyclohexylamine- BC, REG, 10 ppm in steam - Except in steam in contact with milk and milk products - 173.310",Cyclohexylamine,"BC, REG, 10 ppm in steam - Except in steam in contact with milk and milk products - 173.310"
371,"Cyfluthrin- INSECT, REG, Tolerances for Residues 180.436",Cyfluthrin,"INSECT, REG, Tolerances for Residues 180.436"
372,"Cysteine (l-form)- MISC, FS, 0.009 parts per 100 parts flour by wt. - Part 136 - Bakery Products; 184.1271; 184.1272; NUTR/DS, REG - 172.320",Cysteine (l-form),"MISC, FS, 0.009 parts per 100 parts flour by wt. - Part 136 - Bakery Products; 184.1271; 184.1272; NUTR/DS, REG - 172.320"
373,"Cysteine (l-form) monohydrochloride- MISC, GRAS -184.1272 - Used to supply up to 0.009 part of total L-cys-teine per 100 parts of flour in dough as a dough strength­ener",Cysteine (l-form) monohydrochloride,"MISC, GRAS -184.1272 - Used to supply up to 0.009 part of total L-cys-teine per 100 parts of flour in dough as a dough strength­ener"
374,"Cystine (l form)- NUTR/DS, REG - 172.320",Cystine (l form),"NUTR/DS, REG - 172.320"
375,Damar Gum (Shorea dipterocarpaceae) - Diluents in color additives - 73.1,Damar Gum (Shorea dipterocarpaceae),Diluents in color additives - 73.1
376,"Damiana leaves- FL/ADJ, REG, GMP, In conjunction w/flavors - 172.510",Damiana leaves,"FL/ADJ, REG, GMP, In conjunction w/flavors - 172.510"
377,"Dandelion, dandelion root- ESO, GRAS,","Dandelion, dandelion root","ESO, GRAS,"
378,"Dandelion, fluid extract (Taraxacum spp.)- GRAS -182.20","Dandelion, fluid extract (Taraxacum spp.)",GRAS -182.20
379,"DDVP- FEED, REG, See Dichlorvos",DDVP,"FEED, REG, See Dichlorvos"
380,"Decalactone alone or comb/w dodecalactone- FLAV, REG, <10 ppm alone or <20 ppm comb - As artificial fla­voring in oleomargarine. Part 166 - 172.515",Decalactone alone or comb/w dodecalactone,"FLAV, REG, <10 ppm alone or <20 ppm comb - As artificial fla­voring in oleomargarine. Part 166 - 172.515"
381,"Decanoic Acid- SANI, REG, 109 - 218 ppm total fatty acids - Component of sanitizing solution - 178.1010, Coating for fruits and vegetables - 172.210, Fatty acids -172.860, Defoaming agents - 173.340",Decanoic Acid,"SANI, REG, 109 - 218 ppm total fatty acids - Component of sanitizing solution - 178.1010, Coating for fruits and vegetables - 172.210, Fatty acids -172.860, Defoaming agents - 173.340"
382,1-Decanol - SYN fatty alcohol- 172.864,1-Decanol,SYN fatty alcohol- 172.864
383,"Decoquinate- FEED, REG, 2 ppm - In uncooked edible tissue, other than skeletal muscle, of chicken and goats as a residue - 556.170; 1 ppm - In skeletal muscle of chickens as a residue - 556.170; Use: In dry and liquid medicated feed - 558.195",Decoquinate,"FEED, REG, 2 ppm - In uncooked edible tissue, other than skeletal muscle, of chicken and goats as a residue - 556.170; 1 ppm - In skeletal muscle of chickens as a residue - 556.170; Use: In dry and liquid medicated feed - 558.195"
384,"Decyl alcohol, synthetic- MISC, REG, GMP, See Fatty alcohols, synthetic - 172.864","Decyl alcohol, synthetic","MISC, REG, GMP, See Fatty alcohols, synthetic - 172.864"
